Nome;CPF;Endereco;Telefone;Data de cadastro;Saldo a pagar
Cesar Filho;00688888888;ufmt;6599999999;16-05-2022;0.00
Leo Steffens;00688888899;ufmt2;6599999889;16/04/2022;0.00
Messi;00688888888;ufmt;6599999999;16/05/2022;0.00
Cristiano Ronaldo;00688888888;ufmt;6599999999;16/05/2022;0.00
Neymar;00688888888;ufmt;6599999999;16/05/2022;0.00
Ronaldinho;00688888888;ufmt;6599999999;16/05/2022;0.00
Pele;00688888888;ufmt;6599999999;16/05/2022;0.00
Maradona;00688888888;ufmt;6599999999;16/05/2022;0.00
Marilia Mendoca;00688888888;ufmt;6599999999;16/05/2022;11.25
Cristiano Araujo;00688888888;ufmt;6599999999;16/05/2022;0.00
boliviano;6665656;asdasd;6544949645619/05;19/05;4.50
